Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Closed-habitat: HI-SEAS,Closed-habitat: NEEMO,136,1000000,47.83651513723558,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,EMP: Free-living,408,1000000,286.5315193201508,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,EMP: Host-associated,492,1000000,23.950286831249944,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: Checherta (Jungle),206,1000000,177.78838235959552,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: Iquitos (Town),237,1000000,105.37520209810458,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: Manaus (Urban),204,1000000,99.48737110851057,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: P. Almendras (Rural),445,1000000,73.42711269196033,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: Post-occupation (HOMEChem),323,1000000,140.29563311792262,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: Pre-occupation (HOMEChem),331,1000000,391.65654054605045,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: longitudinal,774,1000000,45.52610830796041,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: rural (LUKAS1),307,1000000,214.20517896750695,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Home: suburban (LUKAS2),295,1000000,96.34200045417643,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Hospital: COVID-19,398,1000000,41.432536308175585,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Hospital: Post-occupation,3873,1000000,34.93638320991209,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Hospital: Pre-occupation,687,1000000,97.15015476961139,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,ISS: 3DMM,496,1000000,99.39077328997442,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,ISS: MT-1,149,1000000,23.218646425825074,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Indoor Materials,431,1000000,144.7984335653946,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Isolation Dorms: COVID-19,440,1000000,0.917907821028466,0.3720946279053721,0.3735711938891236
Closed-habitat: HI-SEAS,Office: 3D map,228,1000000,19.687087365272518,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Office: geographical gradient,1915,1000000,138.939191815598,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: HI-SEAS,Spacecraft Assembly Facility,163,1000000,82.52556759314012,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,EMP: Free-living,336,1000000,47.69082191386683,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,EMP: Host-associated,420,1000000,20.902773492701503,2.999997000003e-06,3.3883894687533883e-06
Closed-habitat: NEEMO,Home: Checherta (Jungle),134,1000000,42.94851416056519,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Home: Iquitos (Town),165,1000000,37.36808229873107,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Home: Manaus (Urban),132,1000000,28.093211011518715,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Home: P. Almendras (Rural),373,1000000,16.97727490106746,1.999998000002e-06,2.2792770000022793e-06
Closed-habitat: NEEMO,Home: Post-occupation (HOMEChem),251,1000000,51.656324651343475,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Home: Pre-occupation (HOMEChem),259,1000000,101.94928208301599,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Home: longitudinal,702,1000000,36.34373986398128,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Home: rural (LUKAS1),235,1000000,131.47520836056788,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Home: suburban (LUKAS2),223,1000000,82.09097998671817,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Hospital: COVID-19,326,1000000,42.066939296841376,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Hospital: Post-occupation,3801,1000000,44.30563148029224,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Hospital: Pre-occupation,615,1000000,17.98058219993726,6.999993000007e-06,7.76753609211303e-06
Closed-habitat: NEEMO,ISS: 3DMM,424,1000000,152.13087132582177,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,ISS: MT-1,77,1000000,6.790148472536398,0.001785998214001786,0.0018827397839268826
Closed-habitat: NEEMO,Indoor Materials,359,1000000,5.886015583582139,0.009288990711009288,0.009592304693409591
Closed-habitat: NEEMO,Isolation Dorms: COVID-19,368,1000000,26.858076196608014,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Office: 3D map,156,1000000,27.403390209330926,9.99999000001e-07,1.1499988500011501e-06
Closed-habitat: NEEMO,Office: geographical gradient,1843,1000000,2.3283978422208342,0.10612089387910612,0.10782564719443312
Closed-habitat: NEEMO,Spacecraft Assembly Facility,91,1000000,6.4726643821610095,0.00096999903000097,0.0010268190568629514
EMP: Free-living,EMP: Host-associated,692,1000000,408.606679559535,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: Checherta (Jungle),406,1000000,4.868332640483339,0.021584978415021584,0.022109309874495792
EMP: Free-living,Home: Iquitos (Town),437,1000000,58.93690608398301,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: Manaus (Urban),404,1000000,29.65845723239284,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: P. Almendras (Rural),645,1000000,108.0309629919466,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: Post-occupation (HOMEChem),523,1000000,127.43989999076076,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: Pre-occupation (HOMEChem),531,1000000,64.7455849639218,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: longitudinal,974,1000000,352.2981948396198,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: rural (LUKAS1),507,1000000,350.19619833331285,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Home: suburban (LUKAS2),495,1000000,332.1058746565316,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Hospital: COVID-19,598,1000000,343.9582501931964,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Hospital: Post-occupation,4073,1000000,675.1966416004956,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Hospital: Pre-occupation,887,1000000,73.53050761894437,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,ISS: 3DMM,696,1000000,1589.4913949610795,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,ISS: MT-1,349,1000000,91.57452737939488,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Indoor Materials,631,1000000,291.097057797882,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Isolation Dorms: COVID-19,640,1000000,546.1648394290555,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Office: 3D map,428,1000000,182.38003467888964,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Office: geographical gradient,2115,1000000,515.0532764479565,9.99999000001e-07,1.1499988500011501e-06
EMP: Free-living,Spacecraft Assembly Facility,363,1000000,59.92522440073155,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: Checherta (Jungle),490,1000000,175.85016101120272,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: Iquitos (Town),521,1000000,116.57191985629679,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: Manaus (Urban),488,1000000,80.25039987883818,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: P. Almendras (Rural),729,1000000,68.02892062313506,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: Post-occupation (HOMEChem),607,1000000,250.1925838558104,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: Pre-occupation (HOMEChem),615,1000000,601.1718929764701,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: longitudinal,1058,1000000,133.6046971698866,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: rural (LUKAS1),591,1000000,336.1052010663517,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Home: suburban (LUKAS2),579,1000000,162.35935260277824,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Hospital: COVID-19,682,1000000,90.33861032743992,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Hospital: Post-occupation,4157,1000000,181.75854138087402,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Hospital: Pre-occupation,971,1000000,124.2950457150819,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,ISS: 3DMM,780,1000000,491.2064298371409,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,ISS: MT-1,433,1000000,13.0445576329694,5.6999943000057e-05,6.189264197001897e-05
EMP: Host-associated,Indoor Materials,715,1000000,84.95538136626159,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Isolation Dorms: COVID-19,724,1000000,49.28175341553099,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Office: 3D map,512,1000000,28.89652544423973,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Office: geographical gradient,2199,1000000,162.80282690301874,9.99999000001e-07,1.1499988500011501e-06
EMP: Host-associated,Spacecraft Assembly Facility,447,1000000,32.06639675028915,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Home: Iquitos (Town),235,1000000,16.77758969746541,3.999996000004e-06,4.458145321590361e-06
Home: Checherta (Jungle),Home: Manaus (Urban),202,1000000,8.953787462975711,0.000848999151000849,0.0009025075008538436
Home: Checherta (Jungle),Home: P. Almendras (Rural),443,1000000,33.36548648024934,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Home: Post-occupation (HOMEChem),321,1000000,37.4644250040524,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Home: Pre-occupation (HOMEChem),329,1000000,26.961666909485984,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Home: longitudinal,772,1000000,101.38536880657117,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Home: rural (LUKAS1),305,1000000,144.61840607113922,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Home: suburban (LUKAS2),293,1000000,138.35151474753857,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Hospital: COVID-19,396,1000000,122.63043991042507,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Hospital: Post-occupation,3871,1000000,191.18063844026884,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Hospital: Pre-occupation,685,1000000,17.789542662116112,3.999996000004e-06,4.458145321590361e-06
Home: Checherta (Jungle),ISS: 3DMM,494,1000000,784.0663068585535,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),ISS: MT-1,147,1000000,70.469355868905,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Indoor Materials,429,1000000,171.10113757737327,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Isolation Dorms: COVID-19,438,1000000,229.73087706458222,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Office: 3D map,226,1000000,77.46107126636373,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Office: geographical gradient,1913,1000000,193.941260703107,9.99999000001e-07,1.1499988500011501e-06
Home: Checherta (Jungle),Spacecraft Assembly Facility,161,1000000,50.28655536675061,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Home: Manaus (Urban),233,1000000,4.484657149928947,0.01747898252101748,0.017976351942347243
Home: Iquitos (Town),Home: P. Almendras (Rural),474,1000000,17.64038877113025,2.999997000003e-06,3.3883894687533883e-06
Home: Iquitos (Town),Home: Post-occupation (HOMEChem),352,1000000,12.770926104764264,7.999992000008e-06,8.838419109179145e-06
Home: Iquitos (Town),Home: Pre-occupation (HOMEChem),360,1000000,63.72861457945668,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Home: longitudinal,803,1000000,47.91868204157781,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Home: rural (LUKAS1),336,1000000,52.917735556042786,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Home: suburban (LUKAS2),324,1000000,51.438656867244774,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Hospital: COVID-19,427,1000000,56.19265843430896,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Hospital: Post-occupation,3902,1000000,126.1278818669996,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Hospital: Pre-occupation,716,1000000,13.163403484075031,7.999992000008e-05,8.64956400000865e-05
Home: Iquitos (Town),ISS: 3DMM,525,1000000,615.4594252816368,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),ISS: MT-1,178,1000000,51.79801442283482,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Indoor Materials,460,1000000,162.27202392847138,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Isolation Dorms: COVID-19,469,1000000,173.28282405337973,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Office: 3D map,257,1000000,33.44727343181635,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Office: geographical gradient,1944,1000000,236.27170566506842,9.99999000001e-07,1.1499988500011501e-06
Home: Iquitos (Town),Spacecraft Assembly Facility,192,1000000,45.814670126476706,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Home: P. Almendras (Rural),441,1000000,5.481404548473498,0.006711993288006712,0.006988207003562543
Home: Manaus (Urban),Home: Post-occupation (HOMEChem),319,1000000,27.12822919533766,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Home: Pre-occupation (HOMEChem),327,1000000,61.79546816663024,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Home: longitudinal,770,1000000,53.14550661659794,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Home: rural (LUKAS1),303,1000000,89.98051067525216,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Home: suburban (LUKAS2),291,1000000,72.6368079786159,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Hospital: COVID-19,394,1000000,60.44075294733228,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Hospital: Post-occupation,3869,1000000,111.19442819006687,9.99999000001e-07,1.1499988500011501e-06
Home: Manaus (Urban),Hospital: Pre-occupation,683,1000000,1.191382354819614,0.28225771774228225,0.28450678322230044
